Men,Women,VotingAgeCitizen,IncomePerCap,Poverty,Professional,Service,Unemployment,Hispanic,White,Black,Asian,Native,Pacific,Income,Employed
3648,3338,5688,19919,19.9,27.7,15.4,3.3,1.7,94.5,0.0,0.1,0.7,0.0,33042,2046
2785,2622,4257,34783,8.8,44.7,18.7,3.9,3.4,87.0,5.6,0.6,0.5,0.0,56332,3218
2506,2628,3837,34195,5.4,36.7,12.0,3.6,2.6,93.8,0.0,1.0,1.0,0.0,92159,2659
2214,2182,3157,33492,9.6,40.8,9.8,3.4,6.8,57.6,31.1,2.2,0.7,0.0,82159,2274
2352,2801,3705,42014,6.3,48.2,12.1,6.0,8.2,49.2,9.8,29.1,0.0,0.0,85250,2706
1196,1154,1701,68209,5.0,55.6,10.8,2.8,21.7,48.8,2.7,22.9,0.0,0.0,115127,1728
2357,2914,3507,16778,24.7,23.8,24.6,6.1,49.3,26.7,21.9,1.0,0.0,0.0,34391,2164
2989,3748,5610,53966,5.8,50.5,22.3,2.8,1.2,88.4,6.0,0.6,0.0,0.0,89547,3129
1911,2291,2810,25997,16.8,31.4,17.5,2.7,18.4,60.9,11.7,2.0,0.5,1.6,65216,1745
1468,1409,2515,49261,2.0,72.2,8.7,1.3,5.0,89.6,0.6,3.4,0.0,0.0,102107,2052
2559,2962,4416,38739,7.0,52.8,13.4,9.9,1.2,94.4,0.0,1.7,0.4,0.0,64452,3056
1958,2468,3576,26418,19.3,37.0,17.9,1.7,4.7,80.8,10.6,0.7,0.2,0.0,47047,2322
3659,3520,4211,22264,24.8,16.7,29.8,5.4,30.0,62.4,0.4,2.9,0.0,0.0,49677,2473
1550,1806,2577,28432,14.3,25.3,16.2,5.5,1.2,89.7,2.1,3.8,0.0,0.0,47987,1576
2148,2139,3409,20265,24.3,24.0,21.2,6.4,2.8,59.6,35.5,0.0,0.0,0.0,33872,1744
2947,3152,4602,23407,10.6,22.5,19.4,7.6,7.0,78.2,10.8,0.0,0.0,0.0,47557,3069
1652,1557,2254,25211,9.2,18.6,32.7,6.4,11.4,68.0,4.3,4.2,1.4,0.5,47934,1453
1179,1263,1751,28410,10.6,28.7,15.6,3.6,11.3,78.7,3.1,0.0,0.0,0.0,56552,1407
1709,1787,2467,29988,10.9,30.6,24.7,12.5,19.6,73.1,3.7,2.2,0.0,0.0,68973,1731
1201,1165,1506,24426,16.1,31.8,16.7,6.8,4.6,41.9,44.9,2.3,1.0,0.0,51604,846
2899,3606,4292,24067,8.8,27.0,29.3,9.2,15.2,60.2,19.2,1.0,0.0,0.0,62732,3288
2330,2284,3519,22333,15.6,28.3,16.7,3.8,2.6,86.3,6.8,2.0,0.0,0.0,45365,2347
1942,2165,2685,31107,9.3,36.7,15.5,4.6,49.7,39.0,0.8,7.9,0.0,0.0,88036,2035
